x,y,z,r,g,b,distance_to_cam,class,class_r,class_g,class_b,frame_index,depth_uncertainty
-0.04423828125,-0.026074218749999996,0.07386360366162048,98,109,72,0.073857784,6,224,118,119,0,0.0
-0.04423828125,-0.025488281249999998,0.07386726440426619,94,119,91,0.073857784,6,224,118,119,0,0.0
-0.04423828125,-0.024902343749999997,0.07387129752632295,106,134,105,0.073857784,6,224,118,119,0,0.0
-0.04423828125,-0.02431640625,0.07387376463226811,117,141,100,0.073857784,6,224,118,119,0,0.0
-0.04423828125,-0.023144531249999996,0.07387212776244881,196,227,182,0.073856525,18,161,153,128,0,0.0
-0.04423828125,-0.022558593749999998,0.07386851556160272,185,223,177,0.073856525,18,161,153,128,0,0.0
-0.04423828125,-0.021972656249999997,0.07386485786969457,176,210,167,0.073856525,18,161,153,128,0,0.0
-0.04423828125,-0.02138671875,0.0738603271211673,163,195,151,0.073856525,18,161,153,128,0,0.0
-0.04423828125,-0.020800781249999997,0.07385499450508536,206,235,196,0.0738382,18,161,153,128,0,0.0
-0.04423828125,-0.019628906249999998,0.07384681134594064,152,186,146,0.0738382,18,161,153,128,0,0.0
-0.04423828125,-0.01904296875,0.07384348612355845,164,194,157,0.0738382,18,161,153,128,0,0.0
-0.04365234375,-0.026660156249999997,0.07385954452825787,104,114,79,0.073857784,6,224,118,119,0,0.0
-0.04365234375,-0.026074218749999996,0.07386477386956171,96,108,78,0.073857784,6,224,118,119,0,0.0
-0.04365234375,-0.025488281249999998,0.07386827042102184,91,112,87,0.073857784,6,224,118,119,0,0.0
-0.04365234375,-0.024902343749999997,0.07387225886447112,105,123,89,0.073857784,6,224,118,119,0,0.0
-0.04365234375,-0.02431640625,0.0738748253196072,116,130,91,0.073857784,6,224,118,119,0,0.0
-0.04365234375,-0.023730468749999997,0.07387454943425008,169,190,149,0.073856525,18,161,153,128,0,0.0
-0.04365234375,-0.023144531249999996,0.07387440134525111,166,193,151,0.073856525,18,161,153,128,0,0.0
-0.04365234375,-0.022558593749999998,0.0738709224818679,164,196,153,0.073856525,18,161,153,128,0,0.0
-0.04365234375,-0.021972656249999997,0.07386778673829444,147,178,136,0.073856525,18,161,153,128,0,0.0
-0.04365234375,-0.020800781249999997,0.07385786270663643,143,174,135,0.0738382,18,161,153,128,0,0.0
-0.04365234375,-0.020214843749999996,0.0738535633511456,137,166,131,0.0738382,18,161,153,128,0,0.0
-0.04365234375,-0.019628906249999998,0.0738487918884659,120,152,115,0.0738382,18,161,153,128,0,0.0
-0.04365234375,-0.01904296875,0.07384514820657598,112,140,103,0.0738382,18,161,153,128,0,0.0
-0.04306640625,-0.026660156249999997,0.07386112148203312,107,112,77,0.073857784,6,224,118,119,0,0.0
-0.04306640625,-0.026074218749999996,0.07386598767311779,86,97,67,0.073857784,6,224,118,119,0,0.0
-0.04306640625,-0.025488281249999998,0.07386918676458042,84,104,81,0.073857784,6,224,118,119,0,0.0
-0.04306640625,-0.024902343749999997,0.07387301465222848,123,137,99,0.073857784,6,224,118,119,0,0.0
-0.04306640625,-0.02431640625,0.07387549505702551,100,110,73,0.073857784,6,224,118,119,0,0.0
-0.04306640625,-0.023730468749999997,0.07387558962027697,96,112,77,0.073856525,18,161,153,128,0,0.0
-0.04306640625,-0.023144531249999996,0.0738769168720342,111,136,100,0.073856525,18,161,153,128,0,0.0
-0.04306640625,-0.022558593749999998,0.07387295663473567,158,184,144,0.073856525,18,161,153,128,0,0.0
-0.04306640625,-0.021972656249999997,0.07387047812499853,142,170,132,0.073856525,18,161,153,128,0,0.0
-0.04306640625,-0.02138671875,0.0738665117845732,148,175,141,0.073856525,18,161,153,128,0,0.0
-0.04306640625,-0.019628906249999998,0.0738515484621131,114,139,110,0.0738382,18,161,153,128,0,0.0
-0.04306640625,-0.01904296875,0.07384762030861912,115,141,108,0.0738382,18,161,153,128,0,0.0
-0.04248046875,-0.026660156249999997,0.0738634890128134,100,103,66,0.073857784,6,224,118,119,0,0.0
-0.04248046875,-0.026074218749999996,0.07386802514135384,115,122,78,0.073857784,6,224,118,119,0,0.0
-0.04248046875,-0.025488281249999998,0.07387086892359598,80,97,69,0.073857784,6,224,118,119,0,0.0
-0.04248046875,-0.024902343749999997,0.0738744520305364,84,99,68,0.073857784,6,224,118,119,0,0.0
-0.04248046875,-0.02431640625,0.07387684265345126,102,112,77,0.07386581,6,224,118,119,0,0.0
-0.04248046875,-0.023730468749999997,0.07387705877667693,122,137,104,0.073856525,18,161,153,128,0,0.0
-0.04248046875,-0.023144531249999996,0.07387841235001046,118,144,107,0.073856525,18,161,153,128,0,0.0
-0.04248046875,-0.022558593749999998,0.07387572749715449,136,165,128,0.073856525,18,161,153,128,0,0.0
-0.04248046875,-0.021972656249999997,0.07387331949349144,147,176,139,0.073856525,18,161,153,128,0,0.0
-0.04248046875,-0.020800781249999997,0.07386457530875264,122,150,119,0.0738382,18,161,153,128,0,0.0
-0.04248046875,-0.020214843749999996,0.07385864280503963,111,144,110,0.0738382,18,161,153,128,0,0.0
-0.04248046875,-0.019628906249999998,0.0738544222120128,112,142,113,0.0738382,18,161,153,128,0,0.0
